START_LEVELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARGET_TYPE,TARGET_TYPE_AS_TEXT,TARGET_LIST_NUMBER,TARGET_ID,TARGET_PART_NUMBER,CHANNEL,PARAMETER_TYPE,PARAMETER_TYPE_AS_TEXT,LEVEL,LEVEL_REFERENCE_TYPE,LEVEL_REFERENCE_TYPE_AS_TEXT,LEVEL_REFERENCE_LIST_NUMBER,LEVEL_REFERENCE_ID,FADE_TIME,DELAY_TIME,MARK_CUE,TRACK_TYPE,EFFECT,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,35,13,Green,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,35,14,Blue,30,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,35,50,Indigo,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,36,12,Red,255,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,36,13,Green,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,36,14,Blue,30,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,36,50,Indigo,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,36,20675,Lime,121,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,1,1,Intens,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,1,12,Red,94,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,1,13,Green,69,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,1,14,Blue,33,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,2,1,Intens,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,2,12,Red,94,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,2,13,Green,69,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,2,14,Blue,33,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,3,1,Intens,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,3,12,Red,94,,,,,,,,,,,,,,,,,,,,,,,,,
